1 0, 2 0, 3 0, 4 0, 5 0, 6 0, 7 0, 8 0, 9 0, 10 0, 11 0, 12 0, 13 0, 9 0, 10 0, 11 0, 14 1, 15 0, 15 0, 15 0, 16 1, 17 0, 18 0, 19 0, 20 0, 21 0, 22 0, 23 0, 9 0, 24 0, 25 1, 26 1, 27 1, 28 1, 29 1, 30 0, 31 0, 32 0, 24 0, 25 1, 26 1, 27 1, 28 1, 33 1, 34 0, 35 0, 36 0, 37 0, 38 0, 39 0, 40 1, 41 1, 42 1, 34 0, 35 0, 36 0, 43 0, 44 0, 45 0, 46 0, 47 0, 48 0, 49 0, 50 1, 51 1, 28 1, 33 1, 34 0, 35 0, 36 0, 43 0, 44 0, 45 0, 46 1, 52 1, 28 1, 53 1, 28 1, 33 1, 34 0, 35 0, 36 0, 43 0, 44 0, 45 0, 46 1, 52 1, 28 1, 53 1, 28 1, 53 1, 28 1, 53 1, 28 1, 53 1, 28 1, 54 1, 24 0, 25 0, 26 1, 27 1, 28 1, 33 1, 34 0, 35 0, 36 0, 43 0, 44 0, 45 0, 46 0, 52 1, 28 1, 53 1, 28 1, 33 1, 34 0, 35 0, 36 0, 43 0, 44 0, 45 0, 46 0, 55 0, 24 0, 25 0, 26 1, 27 1, 28 1, 33 1, 34 0, 35 0, 36 0, 43 0, 44 0, 45 0, 46 0, 56 0, 57 0, 58 0, 57 0, 59 0, 60 0, 61 0, 39 0, 62 0, 63 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 64 0, 65 0, 66 0, 67 0, 68 0, 69 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 70 0, 71 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0
303 0, 304 0, 305 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 306 1, 7 0, 8 0, 9 0, 10 0, 11 0, 12 1, 13 1, 307 1, 308 1, 17 0, 18 0, 19 0, 20 0, 44 0, 45 0, 46 0, 55 0, 24 0, 25 0, 26 1, 309 1, 15 0, 200 1, 310 1, 231 1, 228 1, 229 1, 230 1, 231 1, 228 1, 311 1, 312 1, 57 1, 313 1, 229 1, 230 1, 231 1, 228 1, 229 1, 230 1, 231 1, 228 1, 229 1, 230 1, 231 1, 228 1, 314 1, 15 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 182 1, 183 1, 184 1, 213 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 169 0, 315 0, 316 1, 69 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 177 1, 178 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0
193 0, 194 0, 317 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 77 1, 78 1, 79 1, 80 1, 81 1, 82 1, 83 1, 15 0, 15 0, 84 1, 85 1, 86 1, 87 1, 88 1, 108 0, 109 1, 110 1, 116 1, 92 1, 93 1, 94 1, 15 0, 15 0, 15 0, 117 1, 28 1, 33 1, 34 0, 35 0, 36 0, 43 0, 44 0, 45 0, 46 0, 318 0, 30 0, 31 0, 32 0, 24 0, 25 0, 26 1, 27 1, 28 1, 33 1, 34 0, 35 0, 36 1, 319 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 206 1, 320 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 271 0, 272 0, 15 0, 15 0, 321 0, 322 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 321 0, 322 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 271 0, 272 0, 15 0, 15 0, 321 0, 322 0, 15 0, 204 0, 323 0, 324 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0
207 0, 208 0, 325 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 133 1, 134 1, 15 0, 15 0, 15 0, 135 1, 136 1, 15 0, 15 0, 137 1, 138 1, 15 0, 15 0, 139 1, 153 1, 154 1, 15 0, 15 0, 15 0, 142 1, 143 1, 15 0, 15 0, 15 0, 15 0, 15 0, 99 1, 100 1, 101 1, 102 1, 107 1, 108 0, 109 1, 110 1, 95 1, 96 1, 97 1, 98 1, 92 1, 93 1, 94 1, 15 0, 15 0, 99 1, 100 1, 101 1, 102 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 326 1, 225 0, 120 0, 327 0, 328 0, 329 0, 330 0, 331 0, 328 0, 329 0, 330 0, 331 0, 328 0, 329 0, 330 0, 332 0, 290 0, 291 0, 15 0, 333 0, 334 0, 335 0, 329 0, 330 0, 331 0, 328 0, 329 0, 330 0, 336 0, 337 0, 338 0, 15 0, 15 0, 15 0, 15 0, 327 0, 328 0, 329 0, 330 0, 331 0, 328 0, 329 0, 330 0, 331 0, 328 0, 329 0, 330 0, 332 0, 290 0, 291 0, 15 0, 339 0, 337 0, 340 0, 341 0, 39 0, 342 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 343 0, 344 0, 345 0, 346 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0
219 0, 220 0, 347 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 175 1, 176 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 146 1, 147 1, 15 0, 15 0, 152 1, 153 1, 154 1, 15 0, 144 1, 145 1, 15 0, 15 0, 15 0, 142 1, 143 1, 15 0, 15 0, 146 0, 147 1, 15 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 300 1, 301 0, 242 0, 348 0, 349 0, 350 0, 351 0, 352 0, 349 0, 350 0, 351 0, 352 0, 349 0, 350 0, 351 0, 353 0, 354 0, 355 0, 356 0, 357 0, 358 0, 350 0, 351 0, 352 0, 349 0, 350 0, 351 0, 352 0, 359 0, 355 0, 356 0, 360 0, 354 0, 355 0, 356 0, 361 0, 349 0, 350 0, 351 0, 352 0, 349 0, 350 0, 351 0, 352 0, 349 0, 350 0, 351 0, 353 0, 354 0, 355 0, 356 0, 357 0, 362 0, 363 0, 364 0, 105 0, 63 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0
235 0, 236 0, 280 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 177 1, 178 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 365 1, 366 1, 367 1, 368 1, 369 1, 366 1, 367 1, 368 1, 369 1, 366 1, 367 1, 368 1, 369 1, 366 1, 367 1, 368 1, 369 1, 366 1, 367 1, 368 1, 369 1, 366 1, 367 1, 368 1, 369 1, 366 1, 367 1, 368 1, 369 1, 366 1, 367 1, 368 1, 369 1, 366 1, 367 1, 368 1, 369 1, 366 1, 367 1, 368 1, 369 1, 366 1, 367 1, 368 1, 369 1, 366 1, 367 1, 368 1, 369 1, 366 1, 367 1, 368 1, 369 1, 370 1, 369 1, 366 1, 367 1, 159 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0
251 0, 252 0, 305 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0
263 0, 264 0, 195 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 371 0, 372 0, 373 0, 374 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 300 1, 375 1, 228 1, 376 1, 377 0, 378 0, 379 0, 380 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0
278 0, 279 0, 209 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 381 1, 382 0, 49 0, 187 1, 383 0, 384 0, 385 0, 386 0, 387 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0
303 0, 304 0, 221 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 388 3, 389 3, 390 3, 391 3, 389 3, 390 3, 392 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 111 1, 112 0, 113 0, 217 1, 393 0, 394 0, 395 0, 396 0, 397 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0
1 0, 2 0, 237 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 388 3, 389 3, 390 3, 391 3, 389 3, 390 3, 391 3, 389 3, 390 3, 391 3, 389 3, 390 3, 392 0, 398 3, 399 3, 400 3, 398 3, 399 3, 400 3, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 155 1, 156 0, 157 0, 114 1, 115 0, 401 0, 402 0, 403 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 388 3, 389 3, 390 3, 391 3, 389 3, 390 3, 391 3, 389 3, 390 3, 392 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0
